Team,Number,Unit,Min,Off,Offensive Rating,Def,Defensive Rating,Net ,PlusMinus,W,L,WinPerc
HOU,16, Lin  Delfino  Parsons  Patterson  Asik,40.3,1.27,127,1.1,110,17,16,7,2,77.7
HOU,17, Lin  Harden  Parsons  Patterson  Smith,35.2,1.04,104,1.14,114,-10,5,5,7,41.6
HOU,18, Douglas  Delfino  Parsons  Morris  Asik,34.6,1,100,0.97,97,3,2,4,7,36.3
HOU,19, Douglas  Harden  Delfino  Parsons  Asik,34,1.29,129,1.14,114,15,12,3,4,42.8
HOU,20, Douglas  Harden  Delfino  Morris  Asik,33.6,1.15,115,1.04,104,11,5,5,7,41.6
IND,1, Hill  Stephenson  George  West  Hibbert,1218.6,1.12,112,0.99,99,13,288,45,17,72.5
IND,2, Hill  Stephenson  George  T.Hansbrough  Hibbert,169.9,1.13,113,0.89,89,24,83,20,8,71.4
IND,3, Hill  Green  George  West  Hibbert,148.6,0.97,97,0.96,96,1,2,12,7,63.1
IND,4, Hill  Stephenson  George  West  Mahinmi,143.3,1.08,108,1,100,8,11,16,14,53.3
IND,5, Augustin  Stephenson  George  West  Hibbert,93.3,0.93,93,1.05,105,-12,17,6,9,40
IND,6, Hill  Young  George  West  Hibbert,92.4,0.96,96,1.03,103,-7,20,7,17,29.1
IND,7, Augustin  Johnson  George  T.Hansbrough  Mahinmi,83.5,1.04,104,0.98,98,6,14,14,8,63.6
IND,8, Augustin  Stephenson  Green  T.Hansbrough  Mahinmi,72.2,0.91,91,1.05,105,-14,20,6,8,42.8
IND,9, Augustin  Green  George  T.Hansbrough  Mahinmi,65.5,1.02,102,0.94,94,8,7,10,5,66.6
IND,10, Augustin  Young  Green  T.Hansbrough  Mahinmi,63.1,0.95,95,1.05,105,-10,12,5,9,35.7
IND,11, Hill  Johnson  George  T.Hansbrough  Hibbert,58.2,0.97,97,1.11,111,-14,10,7,10,41.1
IND,12, Augustin  Stephenson  George  West  Mahinmi,50.1,1.05,105,0.79,79,26,30,10,7,58.8
IND,13, Hill  Green  George  T.Hansbrough  Hibbert,48,0.98,98,1.09,109,-11,12,8,12,40
